"date","close","volume","open","high","low"
"16:00","285.83","77,352,850","284.74","286.16","284.40"
"2019/03/29","282.4800","81882480.0000","282.3900","282.8400","281.1400"
"2019/03/28","280.7100","55987830.0000","280.3500","281.2100","279.0700"
"2019/03/27","279.6500","72092750.0000","281.1100","281.7600","277.9300"
"2019/03/26","281.1200","67884060.0000","280.9900","282.1800","279.5600"
"2019/03/25","279.0400","84898680.0000","278.8700","280.1853","277.6400"
"2019/03/22","279.2500","122400900.0000","283.2200","283.8034","279.1800"
"2019/03/21","284.7300","79394020.0000","280.6400","285.1800","280.5900"
"2019/03/20","281.5500","84349430.0000","282.1600","283.5000","280.3200"
"2019/03/19","282.4000","90060530.0000","283.5100","284.3600","281.4100"
"2019/03/18","282.3300","61813150.0000","281.5500","282.6600","281.3000"
"2019/03/15","281.3100","80558110.0000","280.5400","282.2100","280.3300"
"2019/03/14","281.1600","67354180.0000","281.3700","281.8400","280.6662"
"2019/03/13","281.3400","80111580.0000","280.4800","282.3800","280.3000"
"2019/03/12","279.4900","79432230.0000","279.0600","280.0700","278.8500"
"2019/03/11","278.4400","64752480.0000","275.2600","278.6200","275.2300"
"2019/03/08","274.4600","85634780.0000","272.9400","274.6500","272.4200"
"2019/03/07","275.0100","94692650.0000","276.8300","276.9900","274.0700"
"2019/03/06","277.3300","74824560.0000","279.1500","279.1600","276.9700"
"2019/03/05","279.0200","58813100.0000","279.5400","279.7600","278.4100"
"2019/03/04","279.4000","106181700.0000","281.6000","281.8700","276.8400"
"2019/03/01","280.4200","77586110.0000","280.4400","280.8800","278.8200"
"2019/02/28","278.6800","69048080.0000","278.9600","279.4500","278.3200"
"2019/02/27","279.2000","56131350.0000","278.5200","279.5900","277.4800"
"2019/02/26","279.3200","56491990.0000","279.1300","280.3000","278.9000"
"2019/02/25","279.5200","68642630.0000","280.7300","281.3100","279.4300"
"2019/02/22","279.1400","77132070.0000","278.1100","279.3600","277.4029"
"2019/02/21","277.4200","63984460.0000","277.7000","278.1000","276.3450"
"2019/02/20","278.4100","76479570.0000","277.8100","278.9200","277.2500"
"2019/02/19","277.8500","58802310.0000","276.4810","278.5800","276.4700"
"2019/02/15","277.3700","96744830.0000","276.3600","277.4100","276.1300"
"2019/02/14","274.3800","82409970.0000","273.7800","275.6400","272.8700"
"2019/02/13","274.9900","64930780.0000","275.0300","275.9300","274.5600"
"2019/02/12","274.1000","71990420.0000","272.4200","274.5200","272.3400"
"2019/02/11","270.6200","67807910.0000","271.2000","271.4900","270.0300"
"2019/02/08","270.4700","75742440.0000","268.7500","270.5800","267.8300"
"2019/02/07","270.1400","95030290.0000","270.9400","271.5500","268.2900"
"2019/02/06","272.7400","58009950.0000","272.7900","273.3400","271.9200"
"2019/02/05","273.1000","79447070.0000","272.4400","273.4400","271.8800"
"2019/02/04","271.9600","60610790.0000","270.1100","272.0300","269.3600"
"2019/02/01","270.0600","85738850.0000","270.1500","271.2000","269.1800"
"2019/01/31","269.9300","103347200.0000","267.5100","270.4700","267.2700"
"2019/01/30","267.5800","92069900.0000","265.1000","268.5200","264.2500"
"2019/01/29","263.4100","65024130.0000","263.9200","264.5500","262.4800"
"2019/01/28","263.7600","85027280.0000","263.3900","263.8300","261.7900"
"2019/01/25","265.7800","96838230.0000","265.6100","266.7000","263.6595"
"2019/01/24","263.5500","58643080.0000","263.2100","264.2000","262.0800"
"2019/01/23","263.4100","84305190.0000","264.0100","264.7900","260.6600"
"2019/01/22","262.8600","115253300.0000","264.8200","265.0600","261.0600"
"2019/01/18","266.4600","124175900.0000","264.9800","266.9800","262.9980"
"2019/01/17","262.9600","94873800.0000","260.0100","263.9200","259.9600"
"2019/01/16","260.9800","77489420.0000","260.8300","261.9666","260.6000"
"2019/01/15","260.3500","84892580.0000","257.8200","260.7000","257.8100"
"2019/01/14","257.4000","69913980.0000","256.8600","258.3000","256.4100"
"2019/01/11","258.9800","72812270.0000","257.6800","259.0098","257.0300"
"2019/01/10","258.8800","96462500.0000","256.2600","259.1600","255.5000"
"2019/01/09","257.9700","94640560.0000","257.5600","258.9100","256.1900"
"2019/01/08","256.7700","101804900.0000","256.8200","257.3100","254.0000"
"2019/01/07","254.3800","102307400.0000","252.6900","255.9500","251.6900"
"2019/01/04","252.3900","142444500.0000","247.5900","253.1100","247.1700"
"2019/01/03","244.2100","142029300.0000","248.2300","248.5700","243.6700"
"2019/01/02","250.1800","126041700.0000","245.9800","251.2100","245.9500"
"2018/12/31","249.9200","143399900.0000","249.5600","250.1900","247.4700"
